Trial,Algorithm,Success,Path Length,Time (s),,,,,,A*,ACO,BFS,DFS
1,A*,Yes,58,0,2.3227,0,0,,,0,2.3227,0,0
2,A*,Yes,58,0.0081,2.6596,0,0.0089,,,0.0081,2.6596,0,0.0089
3,A*,Yes,58,0,2.6738,0.0087,0.0076,,,0,2.6738,0.0087,0.0076
4,A*,Yes,58,0,3.7826,0,0.0158,,,0,3.7826,0,0.0158
5,A*,Yes,58,0.0156,2.3967,0,0,,,0.0156,2.3967,0,0
6,A*,Yes,58,0.0005,2.7364,0.0067,0.0052,,,0.0005,2.7364,0.0067,0.0052
7,A*,Yes,58,0,3.7208,0.0157,0,,,0,3.7208,0.0157,0
8,A*,Yes,58,0.016,2.5144,0,0,,,0.016,2.5144,0,0
9,A*,Yes,58,0,3.455,0,0.0156,,,0,3.455,0,0.0156
10,A*,Yes,58,0,2.6551,0,0,,,0,2.6551,0,0
11,A*,Yes,58,0.0172,2.2368,0,0,,,0.0172,2.2368,0,0
12,A*,Yes,58,0,4.0217,0.0156,0,,,0,4.0217,0.0156,0
13,A*,Yes,58,0,2.1479,0,0.0156,,,0,2.1479,0,0.0156
14,A*,Yes,58,0,2.6604,0,0,,,0,2.6604,0,0
15,A*,Yes,58,0.0156,2.3053,0,0,,,0.0156,2.3053,0,0
16,A*,Yes,58,0.0156,3.2187,0,0,,,0.0156,3.2187,0,0
17,A*,Yes,58,0.0156,3.1021,0,0,,,0.0156,3.1021,0,0
18,A*,Yes,58,0.0156,3.1488,0,0,,,0.0156,3.1488,0,0
19,A*,Yes,58,0,3.0021,0,0.0156,,,0,3.0021,0,0.0156
20,A*,Yes,58,0.0156,3.3798,0,0,,,0.0156,3.3798,0,0
21,A*,Yes,58,0.0156,2.8125,0,0,,,0.0156,2.8125,0,0
22,A*,Yes,58,0,4.4199,0.0089,0.0075,,,0,4.4199,0.0089,0.0075
23,A*,Yes,58,0.0091,2.9259,0,0,,,0.0091,2.9259,0,0
24,A*,Yes,58,0,3.6233,0,0.0156,,,0,3.6233,0,0.0156
25,A*,Yes,58,0,3.5472,0,0.0156,,,0,3.5472,0,0.0156
26,A*,Yes,58,0.0082,3.7901,0,0.0082,,,0.0082,3.7901,0,0.0082
27,A*,Yes,58,0,2.2809,0.0156,0,,,0,2.2809,0.0156,0
28,A*,Yes,58,0.0053,3.2387,0.0031,0.0084,,,0.0053,3.2387,0.0031,0.0084
29,A*,Yes,58,0,3.1867,0,0.0156,,,0,3.1867,0,0.0156
30,A*,Yes,58,0,3.3701,0.0076,0,,,0,3.3701,0.0076,0
1,ACO,Yes,96,2.3227,,,,,,,,,
2,ACO,Yes,82,2.6596,,,,,,,,,
3,ACO,Yes,90,2.6738,,,,,,,,,
4,ACO,Yes,60,3.7826,,,,,,,,,
5,ACO,Yes,90,2.3967,,,,,,,,,
6,ACO,Yes,64,2.7364,,,,,,,,,
7,ACO,Yes,74,3.7208,,,,,,,,,
8,ACO,Yes,82,2.5144,,,,,,,,,
9,ACO,Yes,64,3.455,,,,,,,,,
10,ACO,Yes,68,2.6551,,,,,,,,,
11,ACO,No,0,2.2368,,,,,,,,,
12,ACO,Yes,68,4.0217,,,,,,,,,
13,ACO,No,0,2.1479,,,,,,,,,
14,ACO,Yes,66,2.6604,,,,,,,,,
15,ACO,Yes,64,2.3053,,,,,,,,,
16,ACO,Yes,60,3.2187,,,,,,,,,
17,ACO,Yes,62,3.1021,,,,,,,,,
18,ACO,Yes,62,3.1488,,,,,,,,,
19,ACO,Yes,64,3.0021,,,,,,,,,
20,ACO,Yes,66,3.3798,,,,,,,,,
21,ACO,Yes,68,2.8125,,,,,,,,,
22,ACO,Yes,68,4.4199,,,,,,,,,
23,ACO,Yes,62,2.9259,,,,,,,,,
24,ACO,Yes,62,3.6233,,,,,,,,,
25,ACO,Yes,60,3.5472,,,,,,,,,
26,ACO,Yes,64,3.7901,,,,,,,,,
27,ACO,No,0,2.2809,,,,,,,,,
28,ACO,Yes,70,3.2387,,,,,,,,,
29,ACO,Yes,58,3.1867,,,,,,,,,
30,ACO,Yes,64,3.3701,,,,,,,,,
1,BFS,Yes,58,0,,,,,,,,,
2,BFS,Yes,58,0,,,,,,,,,
3,BFS,Yes,58,0.0087,,,,,,,,,
4,BFS,Yes,58,0,,,,,,,,,
5,BFS,Yes,58,0,,,,,,,,,
6,BFS,Yes,58,0.0067,,,,,,,,,
7,BFS,Yes,58,0.0157,,,,,,,,,
8,BFS,Yes,58,0,,,,,,,,,
9,BFS,Yes,58,0,,,,,,,,,
10,BFS,Yes,58,0,,,,,,,,,
11,BFS,Yes,58,0,,,,,,,,,
12,BFS,Yes,58,0.0156,,,,,,,,,
13,BFS,Yes,58,0,,,,,,,,,
14,BFS,Yes,58,0,,,,,,,,,
15,BFS,Yes,58,0,,,,,,,,,
16,BFS,Yes,58,0,,,,,,,,,
17,BFS,Yes,58,0,,,,,,,,,
18,BFS,Yes,58,0,,,,,,,,,
19,BFS,Yes,58,0,,,,,,,,,
20,BFS,Yes,58,0,,,,,,,,,
21,BFS,Yes,58,0,,,,,,,,,
22,BFS,Yes,58,0.0089,,,,,,,,,
23,BFS,Yes,58,0,,,,,,,,,
24,BFS,Yes,58,0,,,,,,,,,
25,BFS,Yes,58,0,,,,,,,,,
26,BFS,Yes,58,0,,,,,,,,,
27,BFS,Yes,58,0.0156,,,,,,,,,
28,BFS,Yes,58,0.0031,,,,,,,,,
29,BFS,Yes,58,0,,,,,,,,,
30,BFS,Yes,58,0.0076,,,,,,,,,
1,DFS,Yes,476,0,,,,,,,,,
2,DFS,Yes,476,0.0089,,,,,,,,,
3,DFS,Yes,476,0.0076,,,,,,,,,
4,DFS,Yes,476,0.0158,,,,,,,,,
5,DFS,Yes,476,0,,,,,,,,,
6,DFS,Yes,476,0.0052,,,,,,,,,
7,DFS,Yes,476,0,,,,,,,,,
8,DFS,Yes,476,0,,,,,,,,,
9,DFS,Yes,476,0.0156,,,,,,,,,
10,DFS,Yes,476,0,,,,,,,,,
11,DFS,Yes,476,0,,,,,,,,,
12,DFS,Yes,476,0,,,,,,,,,
13,DFS,Yes,476,0.0156,,,,,,,,,
14,DFS,Yes,476,0,,,,,,,,,
15,DFS,Yes,476,0,,,,,,,,,
16,DFS,Yes,476,0,,,,,,,,,
17,DFS,Yes,476,0,,,,,,,,,
18,DFS,Yes,476,0,,,,,,,,,
19,DFS,Yes,476,0.0156,,,,,,,,,
20,DFS,Yes,476,0,,,,,,,,,
21,DFS,Yes,476,0,,,,,,,,,
22,DFS,Yes,476,0.0075,,,,,,,,,
23,DFS,Yes,476,0,,,,,,,,,
24,DFS,Yes,476,0.0156,,,,,,,,,
25,DFS,Yes,476,0.0156,,,,,,,,,
26,DFS,Yes,476,0.0082,,,,,,,,,
27,DFS,Yes,476,0,,,,,,,,,
28,DFS,Yes,476,0.0084,,,,,,,,,
29,DFS,Yes,476,0.0156,,,,,,,,,
30,DFS,Yes,476,0,,,,,,,,,
